97	1
106	1
119	1
126	1
132	1
133	2
134	1
137	2
139	1
141	2
147	2
149	2
150	2
152	2
153	1
155	3
156	1
159	2
160	2
161	2
162	2
163	1
164	2
165	3
166	3
167	3
168	3
169	1
170	3
172	3
173	1
174	4
175	6
176	5
177	5
178	5
179	4
180	4
181	4
182	6
183	4
184	3
185	3
186	8
187	6
188	4
189	4
190	8
191	8
192	3
193	13
194	4
195	9
196	13
197	8
198	11
199	6
200	7
201	21
202	6
203	17
204	19
205	20
206	19
207	12
208	12
209	12
210	15
211	10
212	13
213	15
214	9
215	11
216	10
217	15
218	14
219	28
220	17
221	17
222	22
223	20
224	16
225	18
226	20
227	23
228	20
229	25
230	13
231	12
232	16
233	25
234	21
235	20
236	15
237	6
238	23
239	17
240	24
241	17
242	12
243	15
244	17
245	12
246	20
247	15
248	21
249	11
250	25
251	17
252	17
253	12
254	20
255	23
256	20
257	13
258	19
259	30
260	16
261	22
262	19
263	22
264	22
265	14
266	13
267	24
268	19
269	22
270	18
271	22
272	18
273	20
274	9
275	23
276	13
277	20
278	27
279	17
280	22
281	10
282	20
283	21
284	23
285	20
286	22
287	18
288	17
289	13
290	20
291	13
292	18
293	16
294	16
295	10
296	14
297	15
298	19
299	13
300	11
301	11
302	8
303	20
304	11
305	11
306	12
307	4
308	11
309	15
310	18
311	11
312	11
313	14
314	12
315	10
316	12
317	15
318	10
319	9
320	14
321	10
322	6
323	11
324	9
325	15
326	15
327	21
328	17
329	7
330	18
331	2
332	12
333	13
334	10
335	13
336	14
337	6
338	9
339	5
340	5
341	8
342	10
343	9
344	12
345	8
346	9
347	3
348	5
349	9
350	6
351	16
352	3
353	6
354	8
355	9
356	5
357	6
358	1
359	3
360	6
361	1
362	2
363	6
364	9
365	6
366	8
367	2
368	5
369	3
370	3
371	3
372	5
373	4
374	5
375	7
376	6
377	2
378	3
379	3
380	4
381	2
382	3
383	2
384	3
385	3
386	2
387	5
388	1
389	5
390	7
391	8
392	2
393	6
394	1
395	2
396	1
397	5
398	1
399	3
400	4
403	3
404	3
405	1
406	1
409	1
410	2
411	1
413	3
414	2
416	3
417	1
418	1
420	4
421	1
424	1
425	1
426	1
427	1
428	2
429	3
434	1
436	1
437	1
439	2
440	1
442	1
443	1
446	1
449	2
452	1
455	1
458	1
461	1
462	1
463	1
464	1
465	2
470	1
472	1
476	1
477	1
480	1
485	1
489	2
494	1
497	1
513	1
515	1
522	2
526	1
533	1
554	1
588	1
624	1
